method_name	Fscoreall_value_1	Fscoreall_value_2	Fscoreall_value_3	Fscoreall_value_4	Fscoreall_value_5	average_value	max_value	min_value	precisionall_value_1	precisionall_value_2	precisionall_value_3	precisionall_value_4	precisionall_value_5	average_value	max_value	min_value	recallall_value_1	recallall_value_2	recallall_value_3	recallall_value_4	recallall_value_5	average_value	max_value	min_value	AUCall_value_1	AUCall_value_2	AUCall_value_3	AUCall_value_4	AUCall_value_5	average_value	max_value	min_value
abalone19_MLP_normal_20000_normal_num_10_half	0.14124542124542125	0.2857142857142857	0.0	0.2857142857142857	0.0	0.0	0.26666666666666666	0.15384615384615385	0.11388888888888889	0.2222222222222222	0.0	0.2222222222222222	0.0	0.0	0.2222222222222222	0.125	0.18666666666666668	0.4	0.0	0.4	0.0	0.0	0.3333333333333333	0.2	0.5889939492590386	0.6957831325301204	0.49216867469879516	0.6957831325301204	0.4987951807228916	0.49216867469879516	0.6624447125050261	0.5957780458383595
abalone19_MLP_normal_20000_bm_num_10_half	0.10349650349650348	0.1818181818181818	0.0	0.1818181818181818	0.0	0.0	0.15384615384615383	0.1818181818181818	0.09523809523809523	0.16666666666666666	0.0	0.16666666666666666	0.0	0.0	0.14285714285714285	0.16666666666666666	0.11333333333333333	0.2	0.0	0.2	0.0	0.0	0.16666666666666666	0.2	0.5534120559439204	0.5969879518072289	0.49457831325301205	0.5969879518072289	0.4987951807228916	0.49457831325301205	0.5797145154804987	0.5969843184559711
abalone19_MLP_normal_20000_im_num_10_half	0.12606060606060604	0.26666666666666666	0.0	0.1818181818181818	0.0	0.0	0.26666666666666666	0.1818181818181818	0.11111111111111109	0.2222222222222222	0.0	0.16666666666666666	0.0	0.0	0.2222222222222222	0.16666666666666666	0.14666666666666667	0.3333333333333333	0.0	0.2	0.0	0.0	0.3333333333333333	0.2	0.569837613421115	0.6624447125050261	0.4939759036144578	0.5969879518072289	0.4987951807228916	0.4939759036144578	0.6624447125050261	0.5969843184559711
abalone19_MLP_normal_20000_both_num_10_half	0.12606060606060604	0.26666666666666666	0.0	0.1818181818181818	0.0	0.0	0.26666666666666666	0.1818181818181818	0.11111111111111109	0.2222222222222222	0.0	0.16666666666666666	0.0	0.0	0.2222222222222222	0.16666666666666666	0.14666666666666667	0.3333333333333333	0.0	0.2	0.0	0.0	0.3333333333333333	0.2	0.569837613421115	0.6624447125050261	0.4939759036144578	0.5969879518072289	0.4987951807228916	0.4939759036144578	0.6624447125050261	0.5969843184559711
abalone19_MLP_normal_15000_normal_num_10_half	0.09142857142857143	0.26666666666666666	0.0	0.19047619047619047	0.0	0.26666666666666666	0.0	0.0	0.065	0.2	0.0	0.125	0.0	0.2	0.0	0.0	0.16	0.4	0.0	0.4	0.0	0.4	0.0	0.0	0.5738523696716904	0.6951807228915663	0.49155609167671893	0.6915662650602409	0.4951807228915663	0.6951807228915663	0.49155609167671893	0.4957780458383595
abalone19_MLP_normal_15000_bm_num_10_half	0.10598290598290598	0.3076923076923077	0.0	0.2222222222222222	0.0	0.3076923076923077	0.0	0.0	0.08076923076923077	0.25	0.0	0.15384615384615385	0.0	0.25	0.0	0.0	0.16	0.4	0.0	0.4	0.0	0.4	0.0	0.0	0.5763839434941211	0.6963855421686747	0.4951749095295537	0.6933734939759036	0.4987951807228916	0.6963855421686747	0.4951749095295537	0.49819059107358266
abalone19_MLP_normal_15000_im_num_10_half	0.10153846153846154	0.3076923076923077	0.0	0.2	0.0	0.3076923076923077	0.0	0.0	0.07666666666666666	0.25	0.0	0.13333333333333333	0.0	0.25	0.0	0.0	0.16	0.4	0.0	0.4	0.0	0.4	0.0	0.0	0.5760223523769384	0.6963855421686747	0.4951749095295537	0.6921686746987952	0.4987951807228916	0.6963855421686747	0.4951749095295537	0.49758745476477684
abalone19_MLP_normal_15000_both_num_10_half	0.10598290598290598	0.3076923076923077	0.0	0.2222222222222222	0.0	0.3076923076923077	0.0	0.0	0.08076923076923077	0.25	0.0	0.15384615384615385	0.0	0.25	0.0	0.0	0.16	0.4	0.0	0.4	0.0	0.4	0.0	0.0	0.5763839434941211	0.6963855421686747	0.4951749095295537	0.6933734939759036	0.4987951807228916	0.6963855421686747	0.4951749095295537	0.49819059107358266
abalone19_MLP_normal_10000_normal_num_10_half	0.14035714285714285	0.3	0.0	0.3	0.0	0.0625	0.21428571428571427	0.12500000000000003	0.09286195286195287	0.2	0.0	0.2	0.0	0.037037037037037035	0.13636363636363635	0.09090909090909091	0.3	0.6	0.0	0.6	0.0	0.2	0.5	0.2	0.6397548214571193	0.7927710843373494	0.4891566265060241	0.7927710843373494	0.4891566265060241	0.5843373493975904	0.73854041013269	0.593968636911942
abalone19_MLP_normal_10000_bm_num_10_half	0.1604040404040404	0.4	0.0	0.4	0.0	0.0909090909090909	0.1111111111111111	0.20000000000000004	0.1284313725490196	0.3	0.0	0.3	0.0	0.058823529411764705	0.08333333333333333	0.2	0.23333333333333334	0.6	0.0	0.6	0.0	0.2	0.16666666666666666	0.2	0.6110018360535023	0.7957831325301205	0.49457831325301205	0.7957831325301205	0.49457831325301205	0.5903614457831325	0.5766988339364697	0.5975874547647768
